ID,Trail,Endpoints,Miles,node_A,node_B,cost_A_to_B,cost_B_to_A,is_required,node_A_is_campsite,node_B_is_campsite,elev_A,elev_B,gain_A_to_B,gain_B_to_A,is_trail_closed,node_A_overnight_closed,node_B_overnight_closed
172,Jakes Creek,Cucumber Gap - Meigs Mountain,0.1,TI090,TI089,55,75,1,0,0,2514,2499,0,15,0,0,0
173.1,Jakes Creek,Meigs Mountain - Campsite 27,2.2,TI089,BC027,3634,2652,1,0,1,2499,3602,1132,29,0,0,0
173.2,Jakes Creek,Campsite 27 - Miry Ridge,0.7,BC027,TI085,1265,904,1,1,0,3602,4059,458,1,0,0,0
174,Jenkins Ridge,AT - Hazel Creek,8.9,TI049,BC084,12463,14713,1,0,1,4947,2188,1179,3938,0,0,0
175,Jonas Creek,Forney Creek - Welch Ridge,4.1,BC070,TI094,7062,5362,1,1,0,2406,4564,2310,153,0,0,0
176.1,Juney Whank Falls,Deep Creek Road - Deep Creek Horse,0.1,TH157,TI155,153,110,1,0,0,1820,1877,56,0,0,0,0
176.2,Juney Whank Falls,Deep Creek Horse - Falls Overlook,0.1,TI155,TI154,279,197,1,0,0,1877,1974,98,0,0,0,0
176.3,Juney Whank Falls,Falls Overlook W-E,0.1,TI154,TI156,143,138,1,0,0,1974,1981,38,31,0,0,0
176.4,Juney Whank Falls,Deep Creek Horse - Deep Creek,0.2,TI156,TI160,241,340,1,0,0,1981,1833,0,148,0,0,0
177,Kanati Fork,Newfound Gap Road - Thomas Divide,2.9,TH190,TI182,6185,4684,1,0,0,2852,4964,2288,175,0,0,0
178,Kephart Prong,Newfound Gap Road - Sweat Heifer,2,TH192,SH115,3142,2307,1,0,1,2732,3582,895,45,0,0,0
179,Lakeshore,Lakeview Drive East - Tunnel Bypass,0.6,TH107,TI103,1804,1723,1,0,0,2079,2160,385,305,0,0,0
180,Lakeshore,Tunnel Bypass - Goldmine Loop,0.1,TI103,TI102,81,94,1,0,0,2160,2142,6,23,0,0,0
181,Lakeshore,Goldmine Loop - Whiteoak Branch,1.2,TI102,TI099,1780,1883,1,0,0,2142,2011,269,400,0,0,0
182,Lakeshore,Whiteoak Branch - Forney Creek/CS #74,1,TI099,BC074,1351,1563,1,0,1,2011,1750,125,386,0,0,0
183,Lakeshore,Forney Creek/CS #74 - Chambers Creek/CS #98,6.6,BC074,BC098,9625,9687,1,1,1,1750,1716,1694,1728,0,0,0
184.1,Lakeshore,Chambers Creek/CS #98 - Campsite 76,2.3,BC098,BC076,3122,3085,1,1,1,1716,1753,485,448,0,0,0
184.2,Lakeshore,Campsite 76 - Pilkey Creek,4.2,BC076,TI064,5160,5165,1,1,0,1753,1751,596,600,0,0,0
185.1,Lakeshore,Pilkey Creek - Campsite 77,0.5,TI064,BC077,918,835,1,0,1,1751,1877,218,89,0,0,0
185.2,Lakeshore,Campsite 77 - Campsite 81,4.2,BC077,BC081,5966,6003,1,1,1,1877,1811,977,1045,0,0,0
